Interpretation_ID	Reference_ID	NarrativePlace_ID	Anchors_To_Entity_ID	Associated_Agent_ID	Narrative_Role	Spatial_Determination	Spatial_Relation_Type	Spatial_Component_Role	Spatial_Component_Of	Spatial_Component_Order	Confidence	Annotator_ID	Annotation_Date	Annotation_Method	Critical_Note
interp_00001	ref_00001	collina_molisana	gaz_molise	ingravallo	projectedspace	indeterminate	inside				1.0	lorenzo_sabatino	2026-01-17	close_reading	La “collina molisana” è impiegata come sineddoche spaziale dell’origine sociale del personaggio; lo spazio non è diegeticamente attivo ma funziona come proiezione identitaria e culturale.
interp_00002	ref_00002	san_martino_ai_monti	gaz_san_martino_ai_monti	remo_balducci	marker	approximate					1.0	lorenzo_sabatino	2026-01-17	close_reading	
interp_00003	ref_00003	collegio_romano	gaz_collegio_romano	ingravallo	marker	approximate					1.0	lorenzo_sabatino	2026-01-17	close_reading	
interp_00004	ref_00004	santo_stefano_del_cacco_celio_santo_stefano	gaz_santo_stefano_del_cacco_celio_santo_stefano	ingravallo	setting	approximate					1.0	lorenzo_sabatino	2026-01-17	close_reading	
interp_00005	ref_00005	barbiere	gaz_roma	ingravallo	marker	indeterminate	inside				0.5	lorenzo_sabatino	2026-01-17	close_reading	Generico Barbiere
interp_00006	ref_00006	vicenza	gaz_vicenza	remo_balducci	marker	indeterminate					1.0	lorenzo_sabatino	2026-01-17	close_reading	Luogo generico
interp_00007	ref_00007	palazzo_219	gaz_via_merulana	narrator	setting	approximate	inside				1.0	lorenzo_sabatino	2026-01-17	close_reading	"Palazzo del ""fattaccio"", in cui prende luogo l'evento principale del romanzo"
interp_00008	ref_00008	palazzo_219	gaz_via_merulana	narrator	setting	approximate	inside				1.0	lorenzo_sabatino	2026-01-17	close_reading	"Palazzo del ""fattaccio"", in cui prende luogo l'evento principale del romanzo"
interp_00009	ref_00009	scale		narrator	setting	precise	inside				1.0	lorenzo_sabatino	2026-01-17	close_reading	Scala A e Scala B del palazzo, a riflettere la simmetria imperfetta che alligna nel Palazzo
interp_00010	ref_00010	scala_a		narrator	setting	precise	inside				1.0	lorenzo_sabatino	2026-01-17	close_reading	Scala A del palazzo, in cui si realizzeranno i due crimini centrali del romanzo
interp_00011	ref_00011	frascati	gaz_frascati	assunta	marker	indeterminate					1.0	lorenzo_sabatino	2026-01-17	close_reading	Aggettivo che evoca lo spazio dei Colli Albani/Castelli Romani
interp_00012	ref_00012	tiburtino	gaz_tivoli	assunta	marker	indeterminate					1.0	lorenzo_sabatino	2026-01-17	close_reading	Aggettivo che evoca lo spazio di Tivoli
interp_00013	ref_00013	lazio	gaz_lazio	ingravallo	projectedspace	indeterminate					1.0	lorenzo_sabatino	2026-01-17	close_reading	
interp_00014	ref_00014	marsica	gaz_marsica	ingravallo	projectedspace	indeterminate					1.0	lorenzo_sabatino	2026-01-17	close_reading	
interp_00015	ref_00015	piceno	gaz_piceno	ingravallo	projectedspace	indeterminate					1.0	lorenzo_sabatino	2026-01-17	close_reading	
interp_00016	ref_00016	sannio	gaz_sannio	ingravallo	projectedspace	indeterminate					1.0	lorenzo_sabatino	2026-01-17	close_reading	
interp_00017	ref_00017	collina_molisana	gaz_molise	ingravallo	projectedspace	indeterminate	inside				1.0	lorenzo_sabatino	2026-01-17	close_reading	
interp_00018	ref_00018	santagnese_in_agone	gaz_santagnese_in_agone	narrator	marker	approximate					1.0	lorenzo_sabatino	2026-01-17	close_reading	
interp_00019	ref_00019	santa_maria_in_porta_paradisi	gaz_santa_maria_in_porta_paradisi	narrator	marker	approximate					1.0	lorenzo_sabatino	2026-01-17	close_reading	
